Municipality,Total_Acres_Open_Space,Total_Acres_In_Municipality
312,789.2383205,14885.12
313,632.4345043,3456
314,15.59183449,160
315,67.4636141,381.44
316,111.4917207,914.56
317,73.17202634,808.96
318,29.77924969,272.64
319,71.33669427,668.8
320,68.39902473,390.4
321,34.52617373,1123.84
322,1964.969204,19657.6
323,9.06646927,757.76
324,235.8917129,3738.24
325,18.57456529,364.8
326,95.07231276,1019.52
327,11.8597135,1236.48
328,7905.109223,24737.92
329,440.9769871,3564.16
330,34.34494843,473.6
331,1723.726186,11422.08
332,6022.356584,38573.44
333,39.97187735,686.08
334,37.64580524,883.84
335,11.63744186,161.28
336,104.9658609,1735.68
337,6.01543658,55.68
338,87.63496799,3279.36
339,160.4430021,3279.36
340,2170.538913,19616.64
341,143.4057232,883.2
342,2357.639584,19417.6
343,157.6619986,1450.24
344,3971.683495,26207.36
345,5325.567911,23428.48
346,7.09453922,666.88
347,4.90576319,573.44
348,614.3346885,5201.28
349,5484.107884,6954.88
350,171.3758564,2030.08
351,41.19242349,1117.44
352,563.0324887,1241.6
353,173.406045,3242.88
354,3.71537051,460.8
355,64.89523795,678.4
356,101.9549766,1383.04
357,2.26108057,63.36
358,200.9301431,852.48
359,33.38444573,828.8
360,683.6856451,9904
361,319.3011684,1140.48
362,6723.312877,29744.64
363,4341.203586,19621.76
364,75.91963856,1827.84
365,108.5461175,1494.4
366,1252.869293,5203.84
367,47.90219923,1301.76
368,185.3834896,1502.08
369,1093.587686,5809.92
370,159.9953088,1018.88
371,6756.177149,18644.48
372,1545.317226,7674.88
373,184.9373432,1712.64
374,1040.45831,5040
375,497.6526525,4677.12
376,871.2082994,6728.32
377,999.2904578,12834.56
378,11002.02408,24897.92
379,4215.891469,11538.56
380,1404.05785,4094.72
381,1292.256234,7550.08
382,246.243638,2760.32
383,288.7855719,3795.84
384,2649.329904,11381.76
385,499.089572,1880.96
386,2745.974138,11921.28
387,129.7986675,1634.56
388,2042.319238,10036.48
389,205.0978354,1861.76
390,195.1883464,1369.6
391,6538.669648,18954.88
392,19.2274765,1690.24
393,106.2373879,533.12
394,3763.862818,15124.48
395,777.7141408,4343.68
396,2531.497317,13379.2
397,19.12280652,1296.64
398,37.24034336,1327.36
399,9482.473899,26709.12
400,3354.407719,13345.28
401,10.93682017,92.8
402,59549.23301,28532.48
403,217.2662704,1326.08
404,108.7083504,531.84
405,8969.72747,21912.96
406,25.64767062,374.4
407,40.39245856,626.56
408,493.379368,1768.32
409,13125.19409,27334.4
410,1954.815964,16375.68
411,2589.309553,10305.92
412,26.89995519,359.04
413,22.93685163,389.76
414,19228.93541,63471.36
415,31682.23159,53278.72
416,5.20070976,572.8
417,1667.429777,15795.84
418,95.76903294,522.24
419,18839.10008,30301.44
420,87.63496799,3486.72
421,23222.89358,52106.88
422,0.84693912,288
423,5484.107884,13354.24
424,21.98203971,407.04
425,2133.824132,25047.68
426,77.11048783,2234.24
427,71.24556675,911.36
428,82.87891811,394.88
429,59.43424732,419.2
430,13.14938679,455.68
431,126.4183003,740.48
432,11486.99595,29512.96
433,3.72473758,476.16
434,3045.665688,25946.24
435,99.33757909,2151.68
436,2367.351857,5632.64
437,224.5909525,7216
438,4.54519645,777.6
439,113.2517416,2123.52
440,57.99307921,1788.8
441,236.5079008,2216.96
442,97.16268956,2005.12
443,311.1807855,5384.32
444,385.4613409,1847.68
445,5.76023402,297.6
446,7461.059944,16376.32
447,115.0975472,2560
448,1474.997578,5162.24
449,2354.951262,15182.08
450,23851.08292,48596.48
451,412.981142,1880.96
452,2282.333305,21425.28
453,248.2946424,10823.68
454,36.20611057,572.16
455,1533.400834,7635.84
456,10116.39177,28997.76
457,2121.511475,21685.12
458,412.1853614,12486.4
459,4.72254727,571.52
460,298.1239956,13610.24
461,1203.022641,22358.4
462,5108.633317,28735.36
463,1954.93031,15227.52
464,148.2474514,1500.16
465,104.5740737,25754.88
466,165.0707606,13486.08
467,1745.485575,16718.72
468,2539.85285,15488.64
469,506.251856,8215.04
470,95.00611376,1063.04
471,1940.822431,12845.44
472,3026.08985,20408.32
473,299.5527144,3102.08
474,12479.8207,29548.8
475,152.6403459,2820.48
476,7670.302482,34952.96
477,261.4881976,1511.04
478,135.0089224,435.84
479,3802.94449,20672
480,131.5365342,1796.48
481,342.9639153,3669.12
482,69.68073427,1274.88
483,122.1189113,391.04
484,122.607557,1496.32
485,80.79698711,412.8
486,1086.755917,12522.24
487,99.54520116,3850.24
488,371.6420085,862.72
489,2460.663325,12828.16
490,7.16401224,379.52
491,4965.490123,13779.84
492,4213.012552,21680.64
493,296.6980378,2787.84
494,2323.535576,11289.6
495,1377.051909,10261.76
496,43.19506446,732.8
497,4285.782967,15724.8
498,5230.267044,20470.4
499,1092.832984,6968.96
500,895.6209919,11445.12
501,16717.2701,28947.84
502,295.7819455,2150.4
503,464.8366009,1410.56
504,13682.09919,26433.92
505,5464.722461,23544.32
506,212.8141949,1176.32
507,6402.27073,17231.36
508,23.73559643,379.52
509,15059.8311,43260.8
510,961.3595678,15469.44
511,4931.480129,42726.4
512,575.1113231,3980.8
513,569.3537812,2734.72
514,411.7534601,3094.4
515,172.7262726,7884.16
516,24.52281024,857.6
517,27.07856097,416
518,156.5765457,1770.88
519,266.1941972,1374.08
520,206.9799488,6840.32
521,963.1895504,2557.44
522,293.1474715,2360.32
523,258.7499118,3813.76
524,228.1638067,2493.44
525,218.7628856,1686.4
526,31.40850509,784
527,1223.680554,5773.44
528,1497.089676,3300.48
529,441.8032144,3836.16
530,4876.345574,5792.64
531,276.3698391,4303.36
532,2.71128017,115.84
533,5719.500007,12794.88
534,71.11375632,1075.84
535,90.27179655,927.36
536,2762.345834,19127.68
537,12479.8207,14988.8
538,2605.852259,15118.72
539,1805.164131,6771.84
540,514.3450682,2311.68
541,8188.891086,24016
542,1773.247562,15200
543,1670.203706,11575.04
544,1462.963769,12691.2
545,2764.142902,15823.36
546,2107.950516,7466.88
547,475.1330352,4682.24
548,5237.251097,18935.04
549,1423.03562,3813.76
550,114.6567995,2042.24
551,625.7202579,8556.8
552,132.9606025,1257.6
553,59549.23301,11495.04
554,2712.062549,17514.24
