Municipality,Total_Acres_Open_Space,Total Acres
434,99.33757909,2151.68
435,2367.351857,5632.64
436,224.5909525,7216
437,4.54519645,777.6
438,113.2517416,2123.52
439,57.99307921,1788.8
440,236.5079008,2216.96
441,97.16268956,2005.12
442,311.1807855,5384.32
443,385.4613409,1847.68
444,5.76023402,297.6
445,7461.059944,16376.32
446,115.0975472,2560
447,1474.997578,5162.24
448,2354.951262,15182.08
449,23851.08292,48596.48
450,412.981142,1880.96
451,2282.333305,21425.28
452,248.2946424,10823.68
453,36.20611057,572.16
454,1533.400834,7635.84
455,10116.39177,28997.76
456,2121.511475,21685.12
457,412.1853614,12486.4
458,4.72254727,571.52
459,298.1239956,13610.24
460,1203.022641,22358.4
461,5108.633317,28735.36
462,1954.93031,15227.52
463,148.2474514,1500.16
464,104.5740737,25754.88
465,165.0707606,13486.08
466,1745.485575,16718.72
467,2539.85285,15488.64
468,506.251856,8215.04
469,95.00611376,1063.04
470,1940.822431,12845.44
471,3026.08985,20408.32
472,299.5527144,3102.08
473,7406.198282,29548.8
474,152.6403459,2820.48
475,7670.302482,34952.96
476,261.4881976,1511.04
477,135.0089224,435.84
478,3802.94449,20672
479,131.5365342,1796.48
480,342.9639153,3669.12
481,69.68073427,1274.88
482,122.1189113,391.04
483,122.607557,1496.32
484,80.79698711,412.8
485,1086.755917,12522.24
486,99.54520116,3850.24
487,371.6420085,862.72
488,2460.663325,12828.16
489,7.16401224,379.52
490,4965.490123,13779.84
491,4213.012552,21680.64
492,296.6980378,2787.84
493,2323.535576,11289.6
494,1377.051909,10261.76
495,43.19506446,732.8
496,4285.782967,15724.8
497,5230.267044,20470.4
498,1092.832984,6968.96
499,895.6209919,11445.12
500,16717.2701,28947.84
501,295.7819455,2150.4
502,464.8366009,1410.56
503,13682.09919,26433.92
504,5464.722461,23544.32
505,212.8141949,1176.32
506,6402.27073,17231.36
507,23.73559643,379.52
508,15059.8311,43260.8
509,961.3595678,15469.44
510,4931.480129,42726.4
511,575.1113231,3980.8
512,569.3537812,2734.72
513,411.7534601,3094.4
514,172.7262726,7884.16
515,24.52281024,857.6
516,27.07856097,416
517,156.5765457,1770.88
518,266.1941972,1374.08
519,206.9799488,6840.32
520,963.1895504,2557.44
521,293.1474715,2360.32
522,258.7499118,3813.76
523,228.1638067,2493.44
524,218.7628856,1686.4
525,31.40850509,784
526,1223.680554,5773.44
527,441.8032144,3836.16
528,276.3698391,4303.36
529,2.71128017,115.84
530,5719.500007,12794.88
531,71.11375632,1075.84
532,90.27179655,927.36
533,2762.345834,19127.68
534,722.7433607,14988.8
535,2605.852259,15118.72
536,514.3450682,2311.68
537,8188.891086,24016
538,1773.247562,15200
539,1670.203706,11575.04
540,1462.963769,12691.2
541,2764.142902,15823.36
542,2107.950516,7466.88
543,475.1330352,4682.24
544,11170.11175,18935.04
545,1423.03562,3813.76
546,114.6567995,2042.24
547,625.7202579,8556.8
548,132.9606025,1257.6
549,4148.537309,11495.04
550,2712.062549,17514.24
