,,,,,Area,,,,,Density,,,,,Census Population,,,,,Estimated Population,,,,,% Change,,,,,Population 25+,,,,,College Grads,,,,,% College Grads,,,,,Foreign Born,,,,,% Foreign Born,,,,,African American,,,,,% African American,,,,,Asian,,,,,% Asian,,,,,Hispanic,,,,,% Hispanic,,,,,# Age 0-5,,,,,% Age 0-5,,,,,Age 65+,,,,,% Age 65+,,,,,TANF Children,,,,,TANF %,,,,,SNAP Beneficiaries,,,,,% SNAP Beneficiaries,,,,,Violent Crimes,,,,,Non-Violent Crimes,,,,,Workforce,,,,,Unemployed,,,,,% Unemployed,,,,,Median Rent ($),,,,,Average Residential Property Value ($),,,,,Taxable Property Value ($),,,,,Income Per Taxpayer ($),,,,,No.of Taxpayers and Dependents,,,,,Municipal Budget per Capita ($),,,,,Municipal Budget ($),,,,,Property Tax as % Income,,,,,County Government Tax Rate (%),,,,,Municipal Tax Rate (%),,,,,School Tax Rate (%),,,,,Registered Voters,,,,,Registered Voters as % of Population,,,,,% Democrats,,,,,% Republicans,,,,,Voter Turnout (%),,,,,Governor DEM,,,,,Governor REP,,,,,State Senate DEM,,,,,State Senate REP,,,,,General Assembly DEM 1,,,,,General Assembly DEM 2,,,,,General Assembly REP 1,,,,,General Assembly REP 2,,,,,President DEM,,,,,President REP,,,,,US Senate DEM,,,,,US Senate REP,,,,,Congress DEM,,,,,Congress REP,,,,
Gloucester,Mantua,810,5,2,15.85,15.85,15.85,16,16,948,940,936,930,NULL,15217,15217,15217,15235,15235,15026,14899,14840,14877,NULL,-1.26,-2.09,-2.48,-2.35,NULL,10629,10614,10708,NULL,NULL,3585,3758,3794,NULL,NULL,33.73,35.41,35.43,NULL,NULL,581,694,581,NULL,NULL,3.85,1.89,3.89,NULL,NULL,380,380,380,479,479,2.5,2.5,2.5,3.14,3.14,168,168,168,218,218,1.1,1.1,1.1,1.43,1.43,449,449,449,599,599,2.95,2.95,2.95,3.93,3.93,779,779,779,NULL,NULL,5.12,5.12,5.12,NULL,NULL,1945,1945,1945,NULL,NULL,12.78,12.78,12.78,NULL,NULL,25,20,14,22,14,0.17,0.13,0.09,0.15,0.09,900,976,1011,1004,1138,5.96,6.5,6.79,6.77,7.65,13,7,2,12,NULL,266,190,45,174,NULL,8065,7789,7888,7879,NULL,348,290,258,662,NULL,4.31,3.72,3.27,8.4,NULL,1217,1186,1320,NULL,NULL,217328,220200,222542,228217,NULL,1411056061,1429363139,1444083635,1488640215,NULL,38747.91,NULL,NULL,NULL,NULL,13725,NULL,NULL,NULL,NULL,938,975,1056,1051,NULL,14087792,14523844,15677685,15642060,0,6.39,NULL,NULL,NULL,NULL,0.71,0.72,0.72,0.73,NULL,0.66,0.65,0.66,0.67,NULL,1.7,1.71,1.7,1.68,NULL,11298,11697,11782,12342,NULL,75.19,78.51,79.39,82.96,NULL,35.61,35.46,35.51,35.63,NULL,21.69,21.76,22.56,25.28,NULL,39.64,58.01,26.46,81.8,NULL,2347,NULL,NULL,NULL,NULL,1919,NULL,NULL,NULL,NULL,2354,NULL,NULL,NULL,NULL,1825,NULL,NULL,NULL,NULL,2343,NULL,1683,NULL,NULL,2449,NULL,1654,NULL,NULL,1712,NULL,1323,NULL,NULL,1779,NULL,1304,NULL,NULL,NULL,NULL,NULL,4627,NULL,NULL,NULL,NULL,5176,NULL,NULL,2869,NULL,4555,NULL,NULL,3497,NULL,5049,NULL,NULL,3453,NULL,4498,NULL,NULL,3051,NULL,5065,NULL
Gloucester,Monroe,811,4,1,46.39,46.39,46.39,46.42,46.42,796,797,795,798,NULL,36129,36129,36129,37117,37117,36920,36962,36865,37037,NULL,2.19,2.31,2.04,-0.22,NULL,25180,25397,25334,NULL,NULL,6031,6358,6731,NULL,NULL,23.95,25.03,26.57,NULL,NULL,2024,2011,2181,NULL,NULL,5.5,67.42,5.93,NULL,NULL,5060,5060,5060,5292,5292,14.01,14.01,14.01,14.26,14.26,875,875,875,976,976,2.42,2.42,2.42,2.63,2.63,1795,1795,1795,2796,2796,4.97,4.97,4.97,7.53,7.53,2316,2316,2316,NULL,NULL,6.41,6.41,6.41,NULL,NULL,4904,4904,4904,NULL,NULL,13.57,13.57,13.57,NULL,NULL,75,59,56,58,47,0.2,0.16,0.15,0.16,0.13,2582,2513,2357,2249,2449,7,6.81,6.38,6.1,6.61,44,47,9,30,NULL,548,462,103,400,NULL,18684,18129,18515,18837,NULL,991,847,759,2022,NULL,5.3,4.67,4.1,10.73,NULL,1055,1017,1111,NULL,NULL,199912,204014,202816,209042,NULL,2654651348,2716780713,2700142986,2794349040,NULL,30229.43,NULL,NULL,NULL,NULL,31237,NULL,NULL,NULL,NULL,1014,1040,1030,1015,NULL,37430927,38450063,37971222,37574155,0,7.96,NULL,NULL,NULL,NULL,0.67,0.66,0.69,0.68,NULL,0.87,0.86,0.87,0.84,NULL,1.99,1.98,2.03,1.99,NULL,25427,26380,26376,27690,NULL,68.87,71.37,71.55,74.76,NULL,44.64,45.16,44.56,42.68,NULL,18.57,19.02,19.84,22.38,NULL,34.87,51.7,24.25,77.59,NULL,4974,NULL,NULL,NULL,NULL,3436,NULL,NULL,NULL,NULL,6057,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4951,NULL,3422,NULL,NULL,4863,NULL,3383,NULL,NULL,3070,NULL,2752,NULL,NULL,3016,NULL,2586,NULL,NULL,NULL,NULL,NULL,10487,NULL,NULL,NULL,NULL,10261,NULL,NULL,6370,NULL,10411,NULL,NULL,6253,NULL,9823,NULL,NULL,7127,NULL,10629,NULL,NULL,5542,NULL,10094,NULL
Gloucester,National Park,812,3,1,1,1,1,1.01,1.01,2985,2958,2943,2920,NULL,3036,3036,3036,3026,3026,2985,2958,2943,2949,NULL,-1.68,-2.57,-3.06,-2.54,NULL,2070,2034,2052,NULL,NULL,275,247,304,NULL,NULL,13.29,12.14,14.81,NULL,NULL,35,53,48,NULL,NULL,1.17,3.37,1.62,NULL,NULL,41,41,41,118,118,1.35,1.35,1.35,3.9,3.9,18,18,18,18,18,0.59,0.59,0.59,0.59,0.59,62,62,62,152,152,2.04,2.04,2.04,5.02,5.02,176,176,176,NULL,NULL,5.8,5.8,5.8,NULL,NULL,349,349,349,NULL,NULL,11.5,11.5,11.5,NULL,NULL,11,10,2,5,4,0.37,0.34,0.07,0.17,0.14,236,217,218,191,198,7.87,7.27,7.37,6.49,6.71,4,0,1,5,NULL,43,35,8,40,NULL,1515,1469,1480,1504,NULL,89,83,70,173,NULL,5.87,5.65,4.73,11.5,NULL,1025,1071,1143,NULL,NULL,137685,137845,142975,139716,NULL,158762999,158732151,164438111,160971519,NULL,26625.31,NULL,NULL,NULL,NULL,2459,NULL,NULL,NULL,NULL,887,904,1104,1253,NULL,2647696,2675166,3247728,3696154,0,8.72,NULL,NULL,NULL,NULL,0.71,0.73,0.71,0.76,NULL,0.89,0.9,0.88,0.92,NULL,2.62,2.72,2.63,2.76,NULL,2017,2074,2040,2171,NULL,67.57,70.11,69.32,73.62,NULL,47.22,46.34,45.62,43.19,NULL,13.83,14.6,15.56,19.28,NULL,36.79,48.7,26.72,73.42,NULL,384,NULL,NULL,NULL,NULL,306,NULL,NULL,NULL,NULL,466,NULL,NULL,NULL,NULL,243,NULL,NULL,NULL,NULL,481,NULL,323,NULL,NULL,465,NULL,318,NULL,NULL,221,NULL,204,NULL,NULL,210,NULL,203,NULL,NULL,NULL,NULL,NULL,717,NULL,NULL,NULL,NULL,823,NULL,NULL,428,NULL,718,NULL,NULL,496,NULL,764,NULL,NULL,499,NULL,774,NULL,NULL,438,NULL,764,NULL
Gloucester,Newfield,813,3,2,1.7,1.7,1.7,1.74,1.74,918,911,908,887,NULL,1553,1553,1553,1774,1774,1561,1549,1543,1543,NULL,0.52,-0.26,-0.64,-13.02,NULL,1165,1144,1109,NULL,NULL,278,301,325,NULL,NULL,23.86,26.31,29.31,NULL,NULL,36,36,41,NULL,NULL,2.21,0.61,2.7,NULL,NULL,34,34,34,56,56,2.19,2.19,2.19,3.16,3.16,5,5,5,12,12,0.32,0.32,0.32,0.68,0.68,102,102,102,233,233,6.57,6.57,6.57,13.13,13.13,76,76,76,NULL,NULL,4.89,4.89,4.89,NULL,NULL,219,219,219,NULL,NULL,14.1,14.1,14.1,NULL,NULL,2,5,5,2,1,0.13,0.32,0.32,0.13,0.06,210,244,236,203,246,13.4,15.63,15.24,13.16,15.94,0,0,0,2,NULL,16,14,0,3,NULL,811,792,800,812,NULL,41,42,37,90,NULL,5.06,5.3,4.63,11.08,NULL,1171,1270,1563,NULL,NULL,172327,180041,184574,186413,NULL,123598508,130319880,133941466,136156580,NULL,28287.01,NULL,NULL,NULL,NULL,1390,NULL,NULL,NULL,NULL,1105,1082,1065,1132,NULL,1725215,1675932,1643830,1746325,0,8.48,NULL,NULL,NULL,NULL,0.7,0.71,0.71,0.75,NULL,0.91,0.82,0.79,0.8,NULL,1.95,1.88,1.87,2.09,NULL,1177,1223,1237,1318,NULL,75.4,78.95,80.17,85.42,NULL,41.07,41.18,39.89,37.24,NULL,23.64,23.86,25.06,27.48,NULL,39.93,54.95,29.51,78.83,NULL,223,NULL,NULL,NULL,NULL,220,NULL,NULL,NULL,NULL,252,NULL,NULL,NULL,NULL,194,NULL,NULL,NULL,NULL,220,NULL,168,NULL,NULL,235,NULL,170,NULL,NULL,204,NULL,187,NULL,NULL,178,NULL,179,NULL,NULL,NULL,NULL,NULL,445,NULL,NULL,NULL,NULL,563,NULL,NULL,248,NULL,445,NULL,NULL,370,NULL,530,NULL,NULL,325,NULL,432,NULL,NULL,303,NULL,549,NULL
Gloucester,Paulsboro,814,3,1,1.9,1.9,1.9,1.92,1.92,3116,3096,3081,3055,NULL,6097,6097,6097,6196,6196,5920,5882,5854,5866,NULL,-2.9,-3.53,-3.99,-5.33,NULL,3875,4260,4286,NULL,NULL,545,595,693,NULL,NULL,14.06,13.97,16.17,NULL,NULL,285,378,359,NULL,NULL,4.77,4.28,6.08,NULL,NULL,2239,2239,2239,2213,2213,36.72,36.72,36.72,35.72,35.72,43,43,43,65,65,0.71,0.71,0.71,1.05,1.05,542,542,542,914,914,8.89,8.89,8.89,14.75,14.75,492,492,492,NULL,NULL,8.07,8.07,8.07,NULL,NULL,698,698,698,NULL,NULL,11.45,11.45,11.45,NULL,NULL,44,38,38,33,31,0.74,0.64,0.65,0.56,0.53,1317,1188,1205,1094,1242,22.1,20.07,20.49,18.69,21.17,28,16,4,16,NULL,196,196,29,95,NULL,2703,2592,2633,2708,NULL,222,184,178,388,NULL,8.21,7.1,6.76,14.33,NULL,1009,1039,1101,NULL,NULL,107443,101464,103283,98939,NULL,369800124,348971050,336509806,322450409,NULL,18939.4,NULL,NULL,NULL,NULL,4460,NULL,NULL,NULL,NULL,1366,1474,1559,1469,NULL,8088047,8667810,9128681,8615979,0,8.35,NULL,NULL,NULL,NULL,0.68,0.73,0.67,0.73,NULL,1.34,1.41,1.51,1.61,NULL,1.65,1.77,1.9,2.05,NULL,3605,3717,3672,3893,NULL,60.9,63.19,62.73,66.37,NULL,60.71,59.22,58.12,55.53,NULL,7.55,8.44,9.28,11.46,NULL,35.53,46.03,30.28,67.66,NULL,866,NULL,NULL,NULL,NULL,274,NULL,NULL,NULL,NULL,921,NULL,NULL,NULL,NULL,265,NULL,NULL,NULL,NULL,987,NULL,874,NULL,NULL,982,NULL,864,NULL,NULL,178,NULL,154,NULL,NULL,174,NULL,145,NULL,NULL,NULL,NULL,NULL,1691,NULL,NULL,NULL,NULL,822,NULL,NULL,1051,NULL,1735,NULL,NULL,463,NULL,712,NULL,NULL,1150,NULL,1749,NULL,NULL,376,NULL,746,NULL
Gloucester,Pitman,815,4,2,2.27,2.27,2.27,2.22,2.22,3897,3868,3851,3943,NULL,9011,9011,9011,8780,8780,8846,8780,8741,8753,NULL,-1.83,-2.56,-3,-0.31,NULL,6080,6049,6007,NULL,NULL,1933,1907,1976,NULL,NULL,31.79,31.53,32.89,NULL,NULL,323,185,169,NULL,NULL,3.63,5.84,1.92,NULL,NULL,103,103,103,108,108,1.14,1.14,1.14,1.23,1.23,56,56,56,73,73,0.62,0.62,0.62,0.83,0.83,222,222,222,346,346,2.46,2.46,2.46,3.94,3.94,462,462,462,NULL,NULL,5.13,5.13,5.13,NULL,NULL,1525,1525,1525,NULL,NULL,16.92,16.92,16.92,NULL,NULL,13,19,11,14,6,0.15,0.21,0.13,0.16,0.07,423,421,356,355,337,4.77,4.76,4.05,4.06,3.85,1,4,1,7,NULL,67,48,13,44,NULL,4807,4658,4728,4739,NULL,205,179,165,426,NULL,4.26,3.84,3.49,8.99,NULL,1146,1119,1204,NULL,NULL,175743,178816,184028,188688,NULL,594510497,604959879,620918721,635013064,NULL,33898.99,NULL,NULL,NULL,NULL,7653,NULL,NULL,NULL,NULL,905,969,1039,1063,NULL,8001474,8507432,9082584,9304700,0,7.65,NULL,NULL,NULL,NULL,0.68,0.67,0.67,0.68,NULL,0.97,0.95,0.93,0.91,NULL,2.34,2.35,2.34,2.34,NULL,6509,6705,6670,6933,NULL,73.58,76.37,76.31,79.21,NULL,32.58,32.67,33.46,34.51,NULL,24.07,24.05,24.4,26.03,NULL,48.47,61.52,45.8,81.36,NULL,1686,NULL,NULL,NULL,NULL,1293,NULL,NULL,NULL,NULL,2137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1694,NULL,1539,NULL,NULL,1667,NULL,1557,NULL,NULL,1260,NULL,1443,NULL,NULL,1196,NULL,1347,NULL,NULL,NULL,NULL,NULL,2888,NULL,NULL,NULL,NULL,2526,NULL,NULL,1869,NULL,2786,NULL,NULL,1991,NULL,2548,NULL,NULL,2188,NULL,2799,NULL,NULL,1662,NULL,2579,NULL
Gloucester,South Harrison,816,3,2,15.68,15.68,15.68,15.9,15.9,202,201,199,197,NULL,3162,3162,3162,3395,3395,3170,3146,3123,3131,NULL,0.25,-0.51,-1.23,-7.78,NULL,2027,2010,2001,NULL,NULL,913,981,1024,NULL,NULL,45.04,48.81,51.17,NULL,NULL,92,88,148,NULL,NULL,2.88,3.4,4.7,NULL,NULL,160,160,160,162,162,5.06,5.06,5.06,4.77,4.77,38,38,38,62,62,1.2,1.2,1.2,1.83,1.83,98,98,98,157,157,3.1,3.1,3.1,4.62,4.62,185,185,185,NULL,NULL,5.85,5.85,5.85,NULL,NULL,330,330,330,NULL,NULL,10.44,10.44,10.44,NULL,NULL,3,1,NULL,3,3,0.09,0.03,NULL,0.1,0.1,221,178,161,132,123,6.94,5.62,5.12,4.23,3.93,0,0,0,0,NULL,13,13,0,10,NULL,1647,1592,1619,1596,NULL,66,57,55,122,NULL,4.01,3.58,3.4,7.64,NULL,NULL,NULL,1427,NULL,NULL,335460,345798,342612,352414,NULL,395945250,409381420,405485480,418141680,NULL,48109.77,NULL,NULL,NULL,NULL,3005,NULL,NULL,NULL,NULL,694,718,773,738,NULL,2200219,2259034,2413728,2310971,0,6.48,NULL,NULL,NULL,NULL,0.72,0.71,0.74,0.72,NULL,0.22,0.23,0.24,0.24,NULL,1.8,1.78,1.83,1.73,NULL,2404,2513,2535,2589,NULL,75.84,79.88,81.17,82.69,NULL,30.87,30.48,29.61,30.12,NULL,31.07,31.71,32.34,34.24,NULL,39.64,59.21,25.96,83.7,NULL,383,NULL,NULL,NULL,NULL,534,NULL,NULL,NULL,NULL,457,NULL,NULL,NULL,NULL,471,NULL,NULL,NULL,NULL,418,NULL,274,NULL,NULL,403,NULL,284,NULL,NULL,495,NULL,366,NULL,NULL,470,NULL,348,NULL,NULL,NULL,NULL,NULL,867,NULL,NULL,NULL,NULL,1253,NULL,NULL,502,NULL,817,NULL,NULL,915,NULL,1257,NULL,NULL,580,NULL,805,NULL,NULL,831,NULL,1258,NULL
Gloucester,Swedesboro,817,3,2,0.72,0.72,0.72,0.73,0.73,3603,3582,3567,3530,NULL,2584,2584,2584,2711,2711,2594,2579,2568,2577,NULL,0.39,-0.19,-0.62,-4.94,NULL,1767,1724,1678,NULL,NULL,479,471,528,NULL,NULL,27.11,27.32,31.47,NULL,NULL,171,131,365,NULL,NULL,6.55,0.27,14.15,NULL,NULL,388,388,388,379,379,15.02,15.02,15.02,13.98,13.98,35,35,35,64,64,1.35,1.35,1.35,2.36,2.36,441,441,441,478,478,17.07,17.07,17.07,17.63,17.63,198,198,198,NULL,NULL,7.66,7.66,7.66,NULL,NULL,259,259,259,NULL,NULL,10.02,10.02,10.02,NULL,NULL,5,3,6,6,6,0.19,0.12,0.23,0.23,0.23,386,375,332,283,363,14.83,14.46,12.87,11.02,14.09,1,1,0,0,NULL,15,14,7,15,NULL,1458,1417,1431,1418,NULL,67,62,49,112,NULL,4.6,4.38,3.42,7.9,NULL,1415,1572,1338,NULL,NULL,174405,173854,180027,188336,NULL,175098456,175222402,181072706,188656147,NULL,26607.57,NULL,NULL,NULL,NULL,2363,NULL,NULL,NULL,NULL,1019,1108,1113,1118,NULL,2643336,2857162,2857443,2880173,0,8.02,NULL,NULL,NULL,NULL,0.73,0.74,0.72,0.72,NULL,0.96,0.98,0.99,0.97,NULL,2.26,2.25,2.11,2.01,NULL,1627,1694,1670,1787,NULL,62.72,65.68,65.03,69.34,NULL,34.91,34.65,37.12,38.05,NULL,20.28,20.33,20.74,23.17,NULL,33.19,47.64,23.41,74.71,NULL,304,NULL,NULL,NULL,NULL,202,NULL,NULL,NULL,NULL,323,NULL,NULL,NULL,NULL,186,NULL,NULL,NULL,NULL,329,NULL,252,NULL,NULL,328,NULL,249,NULL,NULL,183,NULL,130,NULL,NULL,165,NULL,123,NULL,NULL,NULL,NULL,NULL,740,NULL,NULL,NULL,NULL,535,NULL,NULL,398,NULL,735,NULL,NULL,340,NULL,518,NULL,NULL,444,NULL,714,NULL,NULL,293,NULL,529,NULL
Gloucester,Washington Twp,818,4,1,21.38,21.38,21.38,21.35,21.35,2238,2222,2234,2257,NULL,48559,48559,48559,48677,48677,47848,47517,47753,48186,NULL,-1.46,-2.15,-1.66,-1.01,NULL,33562,33427,33957,NULL,NULL,11851,12455,13138,NULL,NULL,35.31,37.26,38.69,NULL,NULL,2942,2769,2940,NULL,NULL,6.11,124.45,6.15,NULL,NULL,2825,2825,2825,3346,3346,5.82,5.82,5.82,6.87,6.87,1836,1836,1836,2018,2018,3.78,3.78,3.78,4.15,4.15,1774,1774,1774,2711,2711,3.65,3.65,3.65,5.57,5.57,2410,2410,2410,NULL,NULL,4.96,4.96,4.96,NULL,NULL,6048,6048,6048,NULL,NULL,12.45,12.45,12.45,NULL,NULL,59,44,39,26,29,0.12,0.09,0.08,0.05,0.06,1782,1679,1461,1350,1384,3.71,3.51,3.07,2.83,2.87,58,66,25,56,NULL,764,554,195,407,NULL,25537,24744,25104,25452,NULL,1023,900,804,2264,NULL,4.01,3.64,3.2,8.9,NULL,1208,1301,1297,NULL,NULL,227436,229572,238780,241777,NULL,4598354561,4649949012,4843595808,4916325425,NULL,39698.49,NULL,NULL,NULL,NULL,42849,NULL,NULL,NULL,NULL,819,864,893,902,NULL,39209266,41061662,42653823,43454963,0,6.55,NULL,NULL,NULL,NULL,0.67,0.67,0.1,0.69,NULL,0.62,0.61,0.59,0.57,NULL,1.85,1.86,1.81,1.81,NULL,36365,37408,37548,38824,NULL,76,78.73,78.63,80.57,NULL,36.16,36.12,36.42,36.5,NULL,25.86,26.24,26.75,28.36,NULL,34.57,54.84,23.44,79.84,NULL,6423,NULL,NULL,NULL,NULL,5658,NULL,NULL,NULL,NULL,8309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6619,NULL,4217,NULL,NULL,6525,NULL,4227,NULL,NULL,5011,NULL,4469,NULL,NULL,4871,NULL,4266,NULL,NULL,NULL,NULL,NULL,14244,NULL,NULL,NULL,NULL,15906,NULL,NULL,8476,NULL,13974,NULL,NULL,10849,NULL,15516,NULL,NULL,9692,NULL,14097,NULL,NULL,9620,NULL,15819,NULL
Gloucester,Wenonah,819,5,1,0.97,0.97,0.97,1,1,2308,2291,2280,2217,NULL,2278,2278,2278,2283,2283,2239,2222,2212,2217,NULL,-1.71,-2.46,-2.9,-2.89,NULL,1496,1488,1499,NULL,NULL,760,786,842,NULL,NULL,50.8,52.82,56.17,NULL,NULL,51,49,53,NULL,NULL,2.33,0.23,2.35,NULL,NULL,21,21,21,15,15,0.92,0.92,0.92,0.66,0.66,24,24,24,32,32,1.05,1.05,1.05,1.4,1.4,31,31,31,71,71,1.36,1.36,1.36,3.11,3.11,120,120,120,NULL,NULL,5.27,5.27,5.27,NULL,NULL,289,289,289,NULL,NULL,12.69,12.69,12.69,NULL,NULL,7,6,1,6,1,0.31,0.27,0.05,0.27,0.05,254,228,205,232,309,11.3,10.18,9.23,10.49,13.94,0,3,0,2,NULL,20,13,16,19,NULL,1237,1199,1215,1200,NULL,40,35,29,80,NULL,3.23,2.92,2.39,6.67,NULL,983,1338,1170,NULL,NULL,259227,264971,264660,264659,NULL,219436235,223117890,222773188,223085881,NULL,49728.7,NULL,NULL,NULL,NULL,2205,NULL,NULL,NULL,NULL,1183,1203,1140,1168,NULL,2647663,2672359,2521968,2588997,0,7.52,NULL,NULL,NULL,NULL,0.68,0.66,0.68,0.69,NULL,0.78,0.74,0.7,0.65,NULL,2.65,2.61,2.68,2.74,NULL,1852,1910,1882,1960,NULL,82.72,85.96,85.08,88.41,NULL,36.66,36.4,38.42,40.38,NULL,24.08,23.74,22.68,23.47,NULL,52.59,66.34,33.63,83.62,NULL,533,NULL,NULL,NULL,NULL,403,NULL,NULL,NULL,NULL,514,NULL,NULL,NULL,NULL,400,NULL,NULL,NULL,NULL,509,NULL,391,NULL,NULL,530,NULL,391,NULL,NULL,377,NULL,231,NULL,NULL,398,NULL,227,NULL,NULL,NULL,NULL,NULL,1002,NULL,NULL,NULL,NULL,569,NULL,NULL,642,NULL,941,NULL,NULL,543,NULL,615,NULL,NULL,732,NULL,927,NULL,NULL,485,NULL,657,NULL
Gloucester,West Deptford,820,3,1,15.41,15.41,15.41,15.36,15.36,1379,1367,1361,1368,NULL,21677,21677,21677,22197,22197,21248,21073,20980,21018,NULL,-1.98,-2.79,-3.22,-5.31,NULL,15380,15212,15269,NULL,NULL,5030,5300,5142,NULL,NULL,32.7,34.84,33.68,NULL,NULL,968,1055,1119,NULL,NULL,4.53,25.21,5.29,NULL,NULL,1414,1414,1414,1659,1659,6.52,6.52,6.52,7.47,7.47,415,415,415,553,553,1.91,1.91,1.91,2.49,2.49,731,731,731,1368,1368,3.37,3.37,3.37,6.16,6.16,1159,1159,1159,NULL,NULL,5.35,5.35,5.35,NULL,NULL,3116,3116,3116,NULL,NULL,14.37,14.37,14.37,NULL,NULL,37,31,30,24,19,0.17,0.15,0.14,0.11,0.09,1141,1133,1101,1070,1241,5.34,5.33,5.22,5.1,5.9,12,19,5,16,NULL,349,290,48,243,NULL,11362,10983,11113,11130,NULL,523,451,394,997,NULL,4.6,4.11,3.55,8.96,NULL,1115,1172,1220,NULL,NULL,204718,204441,217022,215751,NULL,2299285815,2302656406,2399337452,2389764802,NULL,34011.51,NULL,NULL,NULL,NULL,18497,NULL,NULL,NULL,NULL,1561,1611,1674,1738,NULL,33158529,33957332,35120962,36535570,0,6.43,NULL,NULL,NULL,NULL,0.66,0.69,0.64,0.7,NULL,0.93,0.95,0.93,0.93,NULL,1.45,1.48,1.45,1.49,NULL,15926,16322,16237,17086,NULL,74.95,77.45,77.39,81.29,NULL,39.08,39.16,39.69,40.38,NULL,19.13,19.32,20.05,21.76,NULL,41.4,54.02,26.36,78.18,NULL,3710,NULL,NULL,NULL,NULL,2422,NULL,NULL,NULL,NULL,4208,NULL,NULL,NULL,NULL,2136,NULL,NULL,NULL,NULL,4122,NULL,2669,NULL,NULL,4144,NULL,2679,NULL,NULL,2074,NULL,1527,NULL,NULL,1923,NULL,1484,NULL,NULL,NULL,NULL,NULL,6885,NULL,NULL,NULL,NULL,6035,NULL,NULL,4153,NULL,6876,NULL,NULL,4030,NULL,5800,NULL,NULL,4881,NULL,7069,NULL,NULL,3365,NULL,5872,NULL
Gloucester,Westville,821,5,1,1.02,1.02,1.02,1.02,1.02,4112,4081,4063,4073,NULL,4288,4288,4288,4264,4264,4194,4163,4144,4154,NULL,-2.19,-2.92,-3.36,-2.58,NULL,2922,2877,2850,NULL,NULL,454,445,474,NULL,NULL,15.54,15.47,16.63,NULL,NULL,134,164,256,NULL,NULL,3.17,1.65,6.14,NULL,NULL,210,210,210,379,379,4.9,4.9,4.9,8.89,8.89,64,64,64,139,139,1.49,1.49,1.49,3.26,3.26,258,258,258,480,480,6.02,6.02,6.02,11.26,11.26,241,241,241,NULL,NULL,5.62,5.62,5.62,NULL,NULL,499,499,499,NULL,NULL,11.64,11.64,11.64,NULL,NULL,18,26,26,21,19,0.43,0.62,0.62,0.51,0.46,1051,1021,944,976,1088,24.96,24.34,22.68,23.55,26.19,14,5,1,9,NULL,138,118,20,93,NULL,2224,2155,2182,2249,NULL,134,122,111,291,NULL,6.03,5.66,5.09,12.94,NULL,881,891,1002,NULL,NULL,135204,132745,127939,129760,NULL,255047183,248186418,237548125,240380278,NULL,24811.81,NULL,NULL,NULL,NULL,3437,NULL,NULL,NULL,NULL,1400,1382,1389,1499,NULL,5871000,5753000,5757500,6224800,0,8.44,NULL,NULL,NULL,NULL,0.66,0.7,0.71,0.69,NULL,1.19,1.21,1.29,1.33,NULL,2.26,2.15,2.41,2.45,NULL,2724,2811,2737,2929,NULL,64.95,67.52,66.05,70.51,NULL,36.01,36.23,36.15,36.79,NULL,19.38,19.75,20.59,22.19,NULL,31.98,46.74,25.54,72.82,NULL,455,NULL,NULL,NULL,NULL,362,NULL,NULL,NULL,NULL,468,NULL,NULL,NULL,NULL,343,NULL,NULL,NULL,NULL,441,NULL,332,NULL,NULL,467,NULL,329,NULL,NULL,341,NULL,323,NULL,NULL,350,NULL,323,NULL,NULL,NULL,NULL,NULL,1041,NULL,NULL,NULL,NULL,1011,NULL,NULL,559,NULL,1064,NULL,NULL,667,NULL,939,NULL,NULL,670,NULL,1089,NULL,NULL,595,NULL,956,NULL
